Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature,Lyrics,Release Year
Irreplaceable,B'Day Deluxe Edition,2007-05-29,['Beyoncé'],"['pop', 'r&b']",2007,1,227853,https://open.spotify.com/track/6RX5iL93VZ5fKmyvNXvF1r,https://i.scdn.co/image/ab67616d00001e02026e88f624dfb96f2e1ef10b,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,72,0.0293,0.447,0.694,5.46E-06,0.167,-4.637,0.382,175.868,0.509,7,0,4,,2007.0
Umbrella,Speedy Kiwi,2022-08-03,['Rihanna'],['sped up'],2007,2,82128,https://open.spotify.com/track/1nDB6w3ZdYEzzIizVzl7tM,https://i.scdn.co/image/ab67616d00001e0242a53c0e82cfa951866159e6,spotify:track:1nDB6w3ZdYEzzIizVzl7tM,57,0.545,0.722,0.537,0.616,0.0904,-8.555,0.0338,96.513,0.113,9,1,4,,2022.0
The Sweet Escape,The Sweet Escape,2006-01-01,"['Gwen Stefani', 'Akon']","['dance pop', 'pop']",2007,3,246466,https://open.spotify.com/track/66ZcOcouenzZEnzTJvoFmH,https://i.scdn.co/image/ab67616d00001e028dd53da15b55d402dfc3a20e,spotify:track:66ZcOcouenzZEnzTJvoFmH,74,0.191,0.756,0.77,0.0,0.178,-3.502,0.0343,119.961,0.73,1,1,4,,2006.0
Big Girls Don't Cry (Personal),The Dutchess,2006-09-13,['Fergie'],"['dance pop', 'pop']",2007,4,268120,https://open.spotify.com/track/4AniPkv5vgdE1n6VKreiyI,https://i.scdn.co/image/ab67616d00001e020283b8c1365d34315f5807bf,spotify:track:4AniPkv5vgdE1n6VKreiyI,68,0.204,0.707,0.642,0.0,0.0925,-4.271,0.0337,113.083,0.249,7,1,4,,2006.0
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),Epiphany (Expanded Edition),2007-06-05,"['T-Pain', 'Yung Joc']","['gangster rap', 'southern hip hop', 'dance pop', 'crunk', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'atl hip hop', 'hip hop', 'pop rap', 'r&b']",2007,5,227960,https://open.spotify.com/track/1tkMs9wDPknQ3ZHcKDw1ES,https://i.scdn.co/image/ab67616d00001e02baf2f329d4feeb19761eddf4,spotify:track:1tkMs9wDPknQ3ZHcKDw1ES,77,0.0109,0.693,0.549,0.0,0.0677,-8.141,0.119,80.028,0.605,1,1,4,,2007.0
Before He Cheats,Some Hearts,2005-11-14,['Carrie Underwood'],"['country dawn', 'dance pop', 'contemporary country', 'classic oklahoma country', 'country']",2007,6,199946,https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt,https://i.scdn.co/image/ab67616d00001e02724bd326692d222c5906b0b0,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,81,0.271,0.519,0.749,0.0,0.119,-3.318,0.0405,147.905,0.29,6,0,4,,2005.0
Hey There Delilah,All That We Needed,2005-01-01,"[""Plain White T's""]","['neo mellow', 'pop punk', 'neon pop punk', 'pop rock', 'modern rock']",2007,7,232533,https://open.spotify.com/track/4RCWB3V8V0dignt99LZ8vH,https://i.scdn.co/image/ab67616d00001e02beae6e69d6505fd379ef3081,spotify:track:4RCWB3V8V0dignt99LZ8vH,80,0.872,0.656,0.291,0.0,0.114,-10.572,0.0293,103.971,0.298,2,1,4,,2005.0
I Wanna Love You,Konvicted,2006-01-01,"['Akon', 'Snoop Dogg']","['gangster rap', 'dance pop', 'rap', 'west coast rap', 'g funk', 'hip hop', 'pop rap']",2007,8,247066,https://open.spotify.com/track/0CXVjQI9wsqaGeIARkkpYc,https://i.scdn.co/image/ab67616d00001e02d9bcf5565005950b353bc9cf,spotify:track:0CXVjQI9wsqaGeIARkkpYc,75,0.0373,0.866,0.454,1.49E-06,0.275,-9.383,0.0414,99.985,0.368,0,1,4,,2006.0
Say It Right,Loose,2006-01-01,['Nelly Furtado'],"['dance pop', 'canadian latin', 'pop', 'canadian pop']",2007,9,223080,https://open.spotify.com/track/2aI21FnmY7TJVKeMaoQZ0t,https://i.scdn.co/image/ab67616d00001e02a6f439c8957170652f9410e2,spotify:track:2aI21FnmY7TJVKeMaoQZ0t,82,0.0476,0.872,0.872,0.00112,0.0543,-6.328,0.139,116.948,0.809,1,1,4,,2006.0
Glamorous,The Dutchess,2006-09-13,"['Fergie', 'Ludacris']","['southern hip hop', 'dance pop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'pop', 'atl hip hop', 'hip hop', 'pop rap']",2007,10,246573,https://open.spotify.com/track/4KTtYhxFtFL7mBwnjkKfLm,https://i.scdn.co/image/ab67616d00001e020283b8c1365d34315f5807bf,spotify:track:4KTtYhxFtFL7mBwnjkKfLm,72,0.291,0.81,0.755,0.0,0.0857,-6.408,0.199,130.991,0.625,0,1,4,,2006.0
Don’t Matter,Karaoke - Most Downloaded 2007,2011-03-25,['Akon'],['karaoke'],2007,11,298360,https://open.spotify.com/track/2thwhoKL8cmpzMD5rQ6e3P,https://i.scdn.co/image/ab67616d00001e02e1beb3789eaef154a01d2677,spotify:track:2thwhoKL8cmpzMD5rQ6e3P,0,0.0493,0.658,0.309,0.125,0.151,-12.33,0.0392,62.596,0.642,11,0,4,,2011.0
Girlfriend,The Best Damn Thing (Expanded Edition),2007-04-17,['Avril Lavigne'],"['candy pop', 'pop', 'canadian pop']",2007,12,216600,https://open.spotify.com/track/45hOioMDJktr86iKDHC8gr,https://i.scdn.co/image/ab67616d00001e02476cdf5837ae39eee951cc15,spotify:track:45hOioMDJktr86iKDHC8gr,76,0.000722,0.56,0.959,0.000221,0.209,-2.433,0.102,163.983,0.669,7,1,4,,2007.0
Makes Me Wonder,It Won't Be Soon Before Long.,2007-01-01,['Maroon 5'],['pop'],2007,13,211080,https://open.spotify.com/track/1lHXlGlve5Zx8tXLhyjDwM,https://i.scdn.co/image/ab67616d00001e029741173cf2b32dab39424538,spotify:track:1lHXlGlve5Zx8tXLhyjDwM,59,0.00485,0.803,0.851,0.000358,0.0577,-2.429,0.0357,113.996,0.881,7,1,4,,2007.0
Party Like A Rock Star,Rockstar Mentality,2007-01-01,['Shop Boyz'],"['atl hip hop', 'futuristic swag', 'dirty south rap']",2007,14,253400,https://open.spotify.com/track/1IYaMVfidzSfvCUZYXhsU1,https://i.scdn.co/image/ab67616d00001e0290bbfebc0880c5ffb877e8fe,spotify:track:1IYaMVfidzSfvCUZYXhsU1,63,0.00541,0.619,0.709,0.0,0.507,-4.633,0.0395,144.972,0.68,7,1,4,,2007.0
Smack That,Konvicted,2006-01-01,"['Akon', 'Eminem']","['dance pop', 'hip hop', 'rap', 'detroit hip hop']",2007,15,212360,https://open.spotify.com/track/2kQuhkFX7uSVepCD3h29g5,https://i.scdn.co/image/ab67616d00001e02d9bcf5565005950b353bc9cf,spotify:track:2kQuhkFX7uSVepCD3h29g5,83,0.321,0.939,0.742,0.0,0.107,-5.171,0.0467,118.978,0.924,5,0,4,,2006.0
This Is Why I'm Hot,Music Is My Savior,2007-01-01,['MiMS'],['pop rap'],2007,16,253706,https://open.spotify.com/track/0AA6zq5ArZ1sSH7VIMi4NK,https://i.scdn.co/image/ab67616d00001e02ef4e6a5820969469d9878b35,spotify:track:0AA6zq5ArZ1sSH7VIMi4NK,60,0.277,0.621,0.6,0.0,0.495,-6.349,0.576,80.021,0.485,8,1,4,,2007.0
It's Not Over,Daughtry (Deluxe Edition),,['Daughtry'],"['neo mellow', 'pop rock', 'alternative metal', 'post-grunge']",2007,17,215026,https://open.spotify.com/track/234RqTZmnDTnxWlVciXHLD,https://i.scdn.co/image/ab67616d00001e0291eca63cca2e2a766e78f705,spotify:track:234RqTZmnDTnxWlVciXHLD,65,0.0503,0.428,0.919,0.0,0.245,-3.245,0.0618,145.927,0.294,10,0,4,,
The Way I Are,The Way I Are (Timbaland Vs. Nephew),2007-01-01,"['Timbaland', 'Keri Hilson', 'D.O.E.']","['hip pop', 'dance pop', 'urban contemporary', 'pop', 'pop rap', 'r&b']",2007,18,230120,https://open.spotify.com/track/2NkDQv8y2DkoYQURdiZCOk,https://i.scdn.co/image/ab67616d00001e02654fa5814ecb4dfc67222ab3,spotify:track:2NkDQv8y2DkoYQURdiZCOk,16,0.00671,0.615,0.945,0.0,0.764,-3.752,0.0431,119.962,0.904,6,1,4,,2007.0
Glamorous,The Dutchess,2006-09-13,"['Fergie', 'Ludacris']","['southern hip hop', 'dance pop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'pop', 'atl hip hop', 'hip hop', 'pop rap']",2007,19,246573,https://open.spotify.com/track/4KTtYhxFtFL7mBwnjkKfLm,https://i.scdn.co/image/ab67616d00001e020283b8c1365d34315f5807bf,spotify:track:4KTtYhxFtFL7mBwnjkKfLm,72,0.291,0.81,0.755,0.0,0.0857,-6.408,0.199,130.991,0.625,0,1,4,,2006.0
Crank That (Soulja Boy),souljaboytellem.com,2007-01-01,['Soulja Boy'],"['southern hip hop', 'dance pop', 'rap', 'trap', 'atl hip hop', 'chicago bop', 'pop rap']",2007,20,221933,https://open.spotify.com/track/66TRwr5uJwPt15mfFkzhbi,https://i.scdn.co/image/ab67616d00001e028a6a328ced07af494400584b,spotify:track:66TRwr5uJwPt15mfFkzhbi,77,0.515,0.736,0.74,0.0,0.0468,-2.18,0.0786,140.141,0.803,0,1,4,,2007.0
Give It To Me,Shock Value,2007-04-02,"['Timbaland', 'Justin Timberlake', 'Nelly Furtado']","['dance pop', 'canadian latin', 'pop', 'canadian pop', 'pop rap']",2007,21,234026,https://open.spotify.com/track/0wbDgMuAoy7O7pL3a69uZx,https://i.scdn.co/image/ab67616d00001e02755a9f1e89ad8e8cf91d4956,spotify:track:0wbDgMuAoy7O7pL3a69uZx,79,0.168,0.975,0.711,0.000552,0.0799,-3.904,0.0632,110.621,0.815,8,1,4,,2007.0
What Goes Around.../...Comes Around (Interlude),FutureSex/LoveSounds,2006-09-12,['Justin Timberlake'],"['dance pop', 'pop']",2007,22,448573,https://open.spotify.com/track/3pD0f7hSJg2XdQ6udw5Tey,https://i.scdn.co/image/ab67616d00001e02c6ba98fd3f3b396a6c6f7091,spotify:track:3pD0f7hSJg2XdQ6udw5Tey,73,0.122,0.687,0.723,0.00102,0.573,-4.751,0.0709,76.0,0.432,7,1,4,,2006.0
Cupid's Chokehold / Breakfast in America,The Papercut Chronicles,2005-02-22,['Gym Class Heroes'],"['dance pop', 'pop rap']",2007,23,243773,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK,https://i.scdn.co/image/ab67616d00001e02f335d8387c3658831112f914,spotify:track:2Lhdl74nwwVGOE2Gv35QuK,77,0.237,0.72,0.744,0.0,0.255,-6.938,0.12,78.953,0.619,1,0,4,,2005.0
How to Save a Life,How To Save A Life,2005-09-13,['The Fray'],"['neo mellow', 'pop rock', 'piano rock', 'pop']",2007,24,262533,https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J,https://i.scdn.co/image/ab67616d00001e0259b8b957f164ce660919f1f4,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,81,0.269,0.64,0.743,0.0,0.101,-4.08,0.0379,122.035,0.361,10,1,4,,2005.0
Home,Daughtry (Deluxe Edition),,['Daughtry'],"['neo mellow', 'pop rock', 'alternative metal', 'post-grunge']",2007,25,255666,https://open.spotify.com/track/2mobr1UlKjhxDTOVqng3jw,https://i.scdn.co/image/ab67616d00001e0291eca63cca2e2a766e78f705,spotify:track:2mobr1UlKjhxDTOVqng3jw,60,0.00217,0.443,0.853,1.77E-06,0.198,-3.885,0.0361,143.986,0.338,6,1,4,,
My Love (feat. T.I.),FutureSex/LoveSounds Deluxe Edition,2006-09-13,"['Justin Timberlake', 'T.I.']","['gangster rap', 'southern hip hop', 'dance pop', 'rap', 'dirty south rap', 'trap', 'pop', 'atl hip hop', 'hip hop', 'pop rap']",2007,26,276160,https://open.spotify.com/track/4NeOWqHmlrGRuBvsLJC9rL,https://i.scdn.co/image/ab67616d00001e02c68f26a3d34fbd0faed2b473,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,75,0.277,0.771,0.68,1.18E-05,0.682,-5.881,0.224,119.952,0.808,11,0,4,,2006.0
Stronger,Graduation,2007-09-11,['Kanye West'],"['chicago rap', 'hip hop', 'rap']",2007,27,311866,https://open.spotify.com/track/0j2T0R9dR9qdJYsB7ciXhf,https://i.scdn.co/image/ab67616d00001e0226f7f19c7f0381e56156c94a,spotify:track:0j2T0R9dR9qdJYsB7ciXhf,83,0.00564,0.617,0.717,0.0,0.408,-7.858,0.153,103.992,0.49,10,0,4,,2007.0
We Fly High,Hustler's P.O.M.E. (Product Of My Environment),2006-11-07,['Jim Jones'],"['gangster rap', 'trap', 'pop rap', 'harlem hip hop']",2007,28,236080,https://open.spotify.com/track/3RGyFugqjQjlL8XX0NW8dZ,https://i.scdn.co/image/ab67616d00001e02c79258a82a9c62cb61235d4c,spotify:track:3RGyFugqjQjlL8XX0NW8dZ,55,0.0791,0.506,0.799,0.0,0.0929,-6.58,0.38,120.405,0.461,1,1,5,,2006.0
U & Ur Hand,Karaoke - Hits 2007 Vol.6,2011-03-29,['Pink'],['karaoke'],2007,29,218920,https://open.spotify.com/track/7HWD6LqJR7hOkJ83kXGNW2,https://i.scdn.co/image/ab67616d00001e02e5621b3e811408783fc557d8,spotify:track:7HWD6LqJR7hOkJ83kXGNW2,0,0.000175,0.689,0.488,0.855,0.0503,-10.027,0.057,140.987,0.967,11,0,4,,2011.0
Walk It Out,Beat'n Down Yo Block,2006-10-03,['Unk'],"['atl hip hop', 'dirty south rap']",2007,30,173040,https://open.spotify.com/track/6PBAPjshd2JfEiWpdf3C2a,https://i.scdn.co/image/ab67616d00001e0246a341b75ecd2ff3f30e1e37,spotify:track:6PBAPjshd2JfEiWpdf3C2a,59,0.0982,0.794,0.777,0.0,0.202,-3.696,0.0813,160.022,0.706,1,0,4,,2006.0
Beautiful Girls,Beautiful Girls,2007-07-23,['Sean Kingston'],"['dance pop', 'miami hip hop', 'pop']",2007,31,225373,https://open.spotify.com/track/1hGy2eLcmC8eKx7qr1tOqx,https://i.scdn.co/image/ab67616d00001e026a45d20e414fbc456ecea553,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,80,0.15,0.762,0.661,0.0,0.256,-6.075,0.0687,130.009,0.769,1,0,4,,2007.0
"This Ain't A Scene, It's An Arms Race",Infinity On High,2007-01-01,['Fall Out Boy'],"['pop punk', 'emo', 'rock', 'pop', 'modern rock']",2007,32,212040,https://open.spotify.com/track/1oagRT7LfpVlNJN6FSZDGp,https://i.scdn.co/image/ab67616d00001e02ff59837e170f95a373afc0ec,spotify:track:1oagRT7LfpVlNJN6FSZDGp,72,0.000747,0.435,0.887,0.0,0.0327,-4.07,0.0636,199.935,0.408,9,1,4,,2007.0
Bartender (feat. Akon),Epiphany (Expanded Edition),2007-06-05,"['T-Pain', 'Akon']","['gangster rap', 'southern hip hop', 'dance pop', 'urban contemporary', 'rap', 'trap', 'hip hop', 'pop rap', 'r&b']",2007,33,238800,https://open.spotify.com/track/1RGIjMFMgJxkZHMDXVYzOJ,https://i.scdn.co/image/ab67616d00001e02baf2f329d4feeb19761eddf4,spotify:track:1RGIjMFMgJxkZHMDXVYzOJ,75,0.0564,0.832,0.391,0.0,0.224,-8.504,0.0628,104.961,0.436,8,1,4,,2007.0
"Pop, Lock & Drop It - Video Edit",Notebook Paper,,['Huey'],"['southern hip hop', 'dirty south rap']",2007,34,261026,https://open.spotify.com/track/6DbqCKweKwVkHgRv1CI53D,https://i.scdn.co/image/ab67616d00001e02d81047ea12d968111f8c42b3,spotify:track:6DbqCKweKwVkHgRv1CI53D,56,0.00308,0.723,0.644,0.0,0.352,-6.863,0.222,144.09,0.645,11,0,4,,
Runaway,"Come Over When You're Sober, Pt. 2",2018-11-09,['Lil Peep'],"['lgbtq+ hip hop', 'cloud rap', 'emo rap']",2007,35,192760,https://open.spotify.com/track/1FBi1YWCAxlRmfuUbMINqO,https://i.scdn.co/image/ab67616d00001e0255e36b0dc5b0ef008fc85319,spotify:track:1FBi1YWCAxlRmfuUbMINqO,72,0.44,0.399,0.591,0.0616,0.446,-8.792,0.052,79.892,0.175,6,0,3,,2018.0
Rockstar,All the Right Reasons (Special Edition),2005-09-26,['Nickelback'],"['post-grunge', 'alternative metal', 'canadian rock']",2007,36,252040,https://open.spotify.com/track/6n9yCXvLhnYMgJIiIcMu7D,https://i.scdn.co/image/ab67616d00001e02105db7f723f33d9273fbf4d8,spotify:track:6n9yCXvLhnYMgJIiIcMu7D,71,0.0459,0.616,0.91,0.0,0.343,-3.004,0.0386,144.072,0.693,0,1,4,,2005.0
Thnks fr th Mmrs,Infinity On High,2007-01-01,['Fall Out Boy'],"['pop punk', 'emo', 'rock', 'pop', 'modern rock']",2007,37,203506,https://open.spotify.com/track/3Zwu2K0Qa5sT6teCCHPShP,https://i.scdn.co/image/ab67616d00001e02ff59837e170f95a373afc0ec,spotify:track:3Zwu2K0Qa5sT6teCCHPShP,80,0.00511,0.459,0.891,0.0,0.106,-5.057,0.0623,154.837,0.588,10,0,4,,2007.0
