Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature,Lyrics,Release Year
Irreplaceable,B'Day Deluxe Edition,2007-05-29,['Beyoncé'],"['pop', 'r&b']",2007,1,227853,https://open.spotify.com/track/6RX5iL93VZ5fKmyvNXvF1r,https://i.scdn.co/image/ab67616d00001e02026e88f624dfb96f2e1ef10b,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,72,0.0293,0.447,0.694,5.46e-06,0.167,-4.637,0.382,175.868,0.509,7,0,4,"To the left
To the left
To the left
To the left

Mmmm to the left, to the left

Everything you own in the box to the left

In the closet, that's my stuff

Yes, if I bought it, baby, please don't touch (don't touch)



And keep talking that mess, thats fine

Could you walk and talk, at the same time?

And it's my name thats on that jag

So go move your bags, let me call you a cab



Standing in the front yard, telling me

How I'm such a fool, talking 'bout

How I'll never ever find a man like you

You got me twisted



You must not know 'bout me

You must not know 'bout me

I could have another you in a minute

Matter fact, he'll be here in a minute (baby)



You must not know 'bout me

You must not know 'bout me

I can have another you by tomorrow

So don't you ever for a second get to thinkin'

You're irreplaceable?



So go ahead and get gone

Call up that chick, and see if shes home

Oops I bet you thought, that I didn't know

What did you think

I was putting you out for?

Because you was untrue

Rolling her around in the car that I bought you

Baby, drop them keys

Hurry up, before your taxi leaves



Standing in the front yard, telling me

How I'm such a fool, talking 'bout

How I'll never ever find a man like you

You got me twisted



You must not know 'bout me

You must not know 'bout me

I could have another you in a minute

Matter fact, he'll be here in a minute (baby)



You must not know 'bout me

You must not know 'bout me

I can have another you by tomorrow

So don't you ever for a second get to thinkin'

You're irreplaceable (irreplaceable)?



So since I'm not your everything (irreplaceable)

How about I'll be nothing (nothing)? Nothing at all to you (nothing, nothing)

Baby I won't shed a tear for you (I won't shed a tear for you)

I won't lose a wink of sleep (a wink of sleep)

'Cause the truth of the matter is (truth is)

Replacing you is so easy



To the left, to the left.

To the left, to the left.

Mmmmm

To the left, to the left.

Everything you own in the box to the left



To the left, to the left.

Don't you ever for a second get to thinking

You're irreplaceable?



You must not know 'bout me

You must not know 'bout me

I can have another you in a minute

Matter fact, he'll be here in a minute (baby)



You must not know 'bout me

You must not know 'bout me

I can have another you by tomorrow

So don't you ever for a second get to thinkin'?

You must not know 'bout me (baby)

You must not know 'bout me

I could have another you in a minute

Matter fact, he'll be here in a minute



You can pack all your bags we're finished (you must not know 'bout me)

'Cause you made your bed now lay in it (you must not know 'bout me)

I could have another you by tomorrow

Don't you ever for a second get to thinkin'

You're irreplaceable?",2007.0
Umbrella,Speedy Kiwi,2022-08-03,['Rihanna'],['sped up'],2007,2,82128,https://open.spotify.com/track/1nDB6w3ZdYEzzIizVzl7tM,https://i.scdn.co/image/ab67616d00001e0242a53c0e82cfa951866159e6,spotify:track:1nDB6w3ZdYEzzIizVzl7tM,57,0.545,0.722,0.537,0.616,0.0904,-8.555,0.0338,96.513,0.113,9,1,4,"No clouds in my stones
Let it rain, I hydroplane in the bank
Coming down with the Dow Jones
When the clouds come, we gone
We Roc-A-Fella
We fly higher than weather

And G5's are better

You know me

In anticipation for precipitation

Stack chips for the rainy day

JayRain Man is back

With little Ms. Sunshine

Rihanna, where you at?



You have my heart

And we'll never be worlds apart

May be in magazines

But you'll still be my star

Baby, cause in the dark

You can't see shiny cars

And that's when you need me there

With you I'll always share

Because



When the sun shine, we shine together

Told you I'll be here forever

Said I'll always be your friend

Took an oath, I'mma stick it out to the end

Now that it's raining more than ever

Know that we'll still have each other

You can stand under my umbrella

You can stand under my umbrella

(Ella, ella, eh, eh, eh)

Under my umbrella

(Ella, ella, eh, eh, eh)



These fancy things

Will never come in between

You're part of my entity

Here for infinity

When the war has took its part

When the world has dealt its cards

If the hand is hard

Together we'll mend your heart

Because



When the sun shine, we shine together

Told you I'll be here forever

Said I'll always be your friend

Took an oath, I'mma stick it out to the end

Now that it's raining more than ever

Know that we'll still have each other

You can stand under my umbrella

You can stand under my umbrella

(Ella, ella, eh, eh, eh)

Under my umbrella

(Ella, ella, eh, eh, eh)



You can run into my arms

It's okay; don't be alarmed

Come into me

There's no distance in between our love

So go on and let the rain pour

I'll be all you need and more

Because



When the sun shine, we shine together

Told you I'll be here forever

Said I'll always be your friend

Took an oath, I'mma stick it out to the end

Now that it's raining more than ever

Know that we'll still have each other

You can stand under my umbrella

You can stand under my umbrella

(Ella, ella, eh, eh, eh)

Under my umbrella

(Ella, ella, eh, eh, eh)



It's rainin', rainin'

Ooh, baby, it's rainin', rainin'

Baby, come here to me

Come into me

It's rainin', rainin'

Ooh, baby, it's rainin', rainin'

You can always come into me

Come into me

It's pourin' rain

It's pourin' rain

Come here to me

Come into me ...",2022.0
The Sweet Escape,The Sweet Escape,2006-01-01,"['Gwen Stefani', 'Akon']","['dance pop', 'pop']",2007,3,246466,https://open.spotify.com/track/66ZcOcouenzZEnzTJvoFmH,https://i.scdn.co/image/ab67616d00001e028dd53da15b55d402dfc3a20e,spotify:track:66ZcOcouenzZEnzTJvoFmH,74,0.191,0.756,0.77,0.0,0.178,-3.502,0.0343,119.961,0.73,1,1,4,"If I could escape 
I would but, first of all, let me say
I must apologize for acting stank and treating you this way
'Cause I've been acting like sour milk all on the floor
It's your fault you didn't shut the refrigerator
Maybe that's the reason I've been acting so cold?



If I could escape 

And recreate a place that's my own world

And I could be your favorite girl (forever) 

Perfectly together

Tell me boy now wouldn't that be sweet? (sweet escape)

If I could be sweet (be sweet)

I know I've been a real bad girl (I'll try to change)

I didn't mean for you to get hurt (whatsoever) 

We can make it better

Tell me boy now wouldn't that be sweet? (sweet escape)



I want to get away, get away, to our sweet escape

I want to get away, yeah



You held me down, 

I'm at my lowest boiling point

Come help me out, 

I need to get me out of this joint

Come on let's bounce, 

Counting on you to turn me around

Instead of clowning around, 

Let's look for some common ground

So baby, times get a little crazy, 

I've been gettin' a little lazy

Waitin' on you to come save me

I can see that you're angry 

By the way that you treat me

Hopefully you don't leave me

Wanna take you with me



If I could escape 

And recreate a place that's my own world

And I could be your favorite girl (forever) 

Perfectly together

And tell me boy now wouldn't that be sweet? (sweet escape)

If I could be sweet (be sweet)

I know I've been a real bad girl (I'll try to change)

I didn't mean for you to get hurt (whatsoever) 

We can make it better

And tell me boy now wouldn't that be sweet? (sweet escape)



If I could escape

If I could escape

'Cause I've been acting like sour milk all on the floor

It's your fault you didn't shut the refrigerator

Maybe that's the reason I've been acting so cold



If I could escape 

And recreate a place that's my own world

And I could be your favorite girl (forever) 

Perfectly together

And tell me boy now wouldn't that be sweet? (the sweet escape)

If I could be sweet

I know I've been a real bad girl (I'll try to change)

I didn't mean for you to get hurt (whatsoever) 

We can make it better

And tell me boy now wouldn't that be sweet? (sweet escape)



I want to get away, get away to our sweet escape

I want to get away, yeah",2006.0
Big Girls Don't Cry (Personal),The Dutchess,2006-09-13,['Fergie'],"['dance pop', 'pop']",2007,4,268120,https://open.spotify.com/track/4AniPkv5vgdE1n6VKreiyI,https://i.scdn.co/image/ab67616d00001e020283b8c1365d34315f5807bf,spotify:track:4AniPkv5vgdE1n6VKreiyI,68,0.204,0.707,0.642,0.0,0.0925,-4.271,0.0337,113.083,0.249,7,1,4,"La, da, da, da
The smell of your skin lingers on me now
You're probably on your flight back to your hometown
I need some shelter of my own protection, baby
Be with myself and center

Clarity, peace, serenity



I hope you know, I hope you know

That this has nothing to do with you

It's personal, myself and I

We got some straightening out to do

And I'm gonna miss you like a child misses their blanket

But I've got to get a move on with my life

It's time to be a big girl now

And big girls don't cry

Don't cry, don't cry, don't cry



The path that I'm walking, I must go alone

I must take the baby steps 'til I'm full grown, full grown

Fairytales don't always have a happy ending, do they?

And I foresee the dark ahead if I stay



I hope you know, I hope you know

That this has nothing to do with you

It's personal, myself and I

We got some straightening out to do

And I'm gonna miss you like a child misses their blanket

But I've got to get a move on with my life

It's time to be a big girl now

And big girls don't cry



Like the little schoolmate in the school yard

We'll play jacks and UNO cards

I'll be your best friend and you'll be my Valentine

Yes, you can hold my hand if you want to

'Cause I wanna hold yours too

We'll be playmates and lovers

And share our secret worlds

But it's time for me to go home

It's getting late and dark outside

I need to be with myself and center

Clarity, peace, serenity, yeah



I hope you know, I hope you know

That this has nothing to do with you

It's personal, myself and I

We got some straightening out to do

And I'm gonna miss you like a child misses their blanket

But I've got to get a move on with my life

It's time to be a big girl now

And big girls don't cry

Don't cry, don't cry, don't cry



La, da, da, da, da, da",2006.0
Before He Cheats,Some Hearts,2005-11-14,['Carrie Underwood'],"['country dawn', 'dance pop', 'contemporary country', 'classic oklahoma country', 'country']",2007,6,199946,https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt,https://i.scdn.co/image/ab67616d00001e02724bd326692d222c5906b0b0,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,81,0.271,0.519,0.749,0.0,0.119,-3.318,0.0405,147.905,0.29,6,0,4,"Right now he's probably slow dancing with a bleach blonde tramp,
and she's probably getting frisky...
right now, he's probably buying her some fruity little drink cause she can't shoot whiskey...
Right now, he's probably up behind her with a pool-stick, showing her how to shoot a combo...

And he don't know...



That I dug my key into the side of his pretty little suped up 4 wheel drive,

carved my name into his leather seats...

I took a Louisville slugger to both head lights,

slashed a hole in all 4 tires...



Maybe next time he'll think before he cheats.



Right now, she's probably up singing some

white-trash version of Shania karoke..

Right now, she's probably saying ""I'm drunk""

and he's a thinking that he's gonna get lucky,

Right now, he's probably dabbing on 3 dollars worth of that bathroom polo...

And he don't know...



That I dug my key into the side of his pretty little suped up 4 wheel drive,

carved my name into his leather seats,

I took a Louisville slugger to both head lights,

slashed a hole in all 4 tires...



Maybe next time he'll think before he cheats.



I might saved a little trouble for the next girl,

Cause the next time that he cheats...



Oh, you know it won't be on me!



Ohh... not on me...

Cause I dug my key into the side of his pretty little suped up 4 wheel drive,

carved my name into his leather seats...

I took a Louisville slugger to both head lights,

slashed a hole in all 4 tires...



Maybe next time he'll think before he cheats.



Ohh.. Maybe next time he'll think before he cheats...



Ohh... before he cheats...",2005.0
Hey There Delilah,All That We Needed,2005-01-01,"[""Plain White T's""]","['neo mellow', 'pop punk', 'neon pop punk', 'pop rock', 'modern rock']",2007,7,232533,https://open.spotify.com/track/4RCWB3V8V0dignt99LZ8vH,https://i.scdn.co/image/ab67616d00001e02beae6e69d6505fd379ef3081,spotify:track:4RCWB3V8V0dignt99LZ8vH,80,0.872,0.656,0.291,0.0,0.114,-10.572,0.0293,103.971,0.298,2,1,4,"Hey there Delilah
What's it like in New York City?
I'm a thousand miles away
But girl, tonight you look so pretty
Yes you do
Times Square can't shine as bright as you

I swear it's true



Hey there Delilah

Don't you worry about the distance

I'm right there if you get lonely

Give this song another listen

Close your eyes

Listen to my voice, it's my disguise

I'm by your side



Oh it's what you do to me

Oh it's what you do to me

Oh it's what you do to me

Oh it's what you do to me

What you do to me



Hey there Delilah

I know times are getting hard

But just believe me, girl

Someday I'll pay the bills with this guitar

We'll have it good

We'll have the life we knew we would

My word is good



Hey there Delilah

I've got so much left to say

If every simple song I wrote to you

Would take your breath away

I'd write it all

Even more in love with me you'd fall

We'd have it all



Oh it's what you do to me

Oh it's what you do to me

Oh it's what you do to me

Oh it's what you do to me



A thousand miles seem pretty far

But they've got planes and trains and cars

I'd walk to you if I had no other way

Our friends would all make fun of us

and we'll just laugh along because 

We know that none of them have felt this way

Delilah I can promise you

That by the time we get through

The world will never ever be the same

And you're to blame



Hey there Delilah

You be good and don't you miss me

Two more years and you'll be done with school 

And I'll be making history like I do

You'll know it's all because of you

We can do whatever we want to

Hey there Delilah here's to you

This one's for you



Oh it's what you do to me

Oh it's what you do to me

Oh it's what you do to me

Oh it's what you do to me

What you do to me",2005.0
I Wanna Love You,Konvicted,2006-01-01,"['Akon', 'Snoop Dogg']","['gangster rap', 'dance pop', 'rap', 'west coast rap', 'g funk', 'hip hop', 'pop rap']",2007,8,247066,https://open.spotify.com/track/0CXVjQI9wsqaGeIARkkpYc,https://i.scdn.co/image/ab67616d00001e02d9bcf5565005950b353bc9cf,spotify:track:0CXVjQI9wsqaGeIARkkpYc,75,0.0373,0.866,0.454,1.49e-06,0.275,-9.383,0.0414,99.985,0.368,0,1,4,"Convict...Music...and you know we up front.
I see you windin' and grindin' up on that pole
I know you see me lookin' at you and you already know
I wanna fuck you, you already know
I wanna fuck you, you already know



Money in the air as mo' fell

Grab you by your coattail, take you to the motel, ho sale

Don't tell, wont tell, baby say ?I don't talk, Dogg unless you told on me? - oh well

Take a picture wit me, what the flick gon' do

Baby stick to me and I'ma stick on you

If you pick me then I'ma pick on you

d-o-double g and I'm here to put this d*** on you

I'm stuck on p**** and your's is right

Rip ridin' the poles and them doors is tight

And I'ma get me a shot 'fo the end of the night

Cause p**** is p**** and baby you're p**** for life



I see you windin' and grindin' up on that pole

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know



Shorty I can see you ain't lonely

Handful of n***** and they all got cheese

See you lookin' at me now what its gon' be

Just another tease far as I can see

Tryna get you up out this club if it means spendin' a couple dubs

Throwin' bout 30 stacks in the back make it rain like that cause I'm far from a scrub

And you know my pedigree, ex-deala use to move amphetamines

Girl I spend money like it don't mean nothing and besides I got a thing for you.



I see you windin' and grindin' up on that pole,

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know girl



Mobbin' through the club and I'm low pressin'

I'm sittin' in the back in the smoker's section (just smokin')

Birds eye, I got a clear view

You can't see me, but I can see you (baby I see you) -mm

It's cool, we jet, the mood is set, your p* is wet

You're rubbin' your back and touchin' your neck

Your body is movin', you humpin' and jumpin'

Your t****** is bouncin', you smilin' and grinnin' and lookin' at me



Girl and while your looking at me I'm ready to hit the caddy

Right up on the patio move the patty to the caddy

Baby you got a phatty, the type I like to marry

Wantin' to just give you everything and that's kinda scary

Cause I'm loving the way you shake your ass

Bouncin', got me tippin' my glass

normally don't get caught up too fast

But I got a thing for you



I see you windin' and grindin' up on that pole,

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know



I see you windin' and grindin' up on that pole,

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know



girl...",2006.0
Say It Right,Loose,2006-01-01,['Nelly Furtado'],"['dance pop', 'canadian latin', 'pop', 'canadian pop']",2007,9,223080,https://open.spotify.com/track/2aI21FnmY7TJVKeMaoQZ0t,https://i.scdn.co/image/ab67616d00001e02a6f439c8957170652f9410e2,spotify:track:2aI21FnmY7TJVKeMaoQZ0t,82,0.0476,0.872,0.872,0.00112,0.0543,-6.328,0.139,116.948,0.809,1,1,4,"In the day
In the night
Say it right
Say it all
You either got it
Or you don't

You either stand or you fall

When your will is broken

When it slips from your hand

When there's no time for joking

There's a hole in the plan



Oh you don't mean nothing at all to me

No you don't mean nothing at all to me

But you got what it takes to set me free

Oh you could mean everything to me



I can't say that I'm not lost and at fault

I can't say that I don't love the light and the dark

I can't say that I don't know that I am alive

And all of what I feel I could show

You tonight you tonight



Oh you don't mean nothing at all to me

No you don't mean nothing at all to me

But you got what it takes to set me free

Oh you could mean everything to me



From my hands I could give you

Something that I made

From my mouth I could sing you another brick that I laid

From my body I could show you a place God knows

You should know the space is holy

Do you really want to go?",2006.0
Glamorous,The Dutchess,2006-09-13,"['Fergie', 'Ludacris']","['southern hip hop', 'dance pop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'pop', 'atl hip hop', 'hip hop', 'pop rap']",2007,10,246573,https://open.spotify.com/track/4KTtYhxFtFL7mBwnjkKfLm,https://i.scdn.co/image/ab67616d00001e020283b8c1365d34315f5807bf,spotify:track:4KTtYhxFtFL7mBwnjkKfLm,72,0.291,0.81,0.755,0.0,0.0857,-6.408,0.199,130.991,0.625,0,1,4,"If you aint got no money take yo'broke ass home
You say: If you aint got no money take yo'broke ass home
G-L-A-M-O-R-O-U-S, yeah G-L-A-M-O-R-O-U-S
We flying the first class
Up in the sky

Poppin' champagne

Livin' the life

In the fast lane

And I wont change

For the glamorous, oh the flossy flossy



The glamorous, 

The glamorous, glamorous (the glamorous life)

For the glamorous, oh the flossy flossy



Wear them gold and diamonds rings

All them things dont mean a thing

Chaperons and limousines

Shopping for expensive things

I be on the moovie screens

Magazines and boogie scenes

Im not clean, Im not pristine

Im n queen, Im no machine

I still go to Taco Bell

Drivethrough, raw as Hell

I dont care, Im still real

No matter how many records I seel

After the show or after the grammys

I like to go cool out with the family

Sippin', reminscing on days when I had a Mustang

And now I'm in...



We flying the first class

Up in the sky

Poppin' champagne

Livin' the life

In the fast lane

And I wont change

For the glamorous, oh the flossy flossy



The glamorous, 

The glamorous, glamorous (the glamorous life)

For the glamorous, oh the flossy flossy



Im talking Champagne wishes, caviar dreams

You deserve nothing but all the finer things

Now this whole world has no clue to do with us

I've got enough money in the bank for the two of us

Brother gotta keep enough lettuce

To support your shoe fetish

Lifestyles so rich and famous

Robin Leach will get jelous

Half a million for the stones

Takin trips from here to Rome

So If you aint got no money take yo'broke ass home

G-L-A-M-O-R-O-U-S, yeah G-L-A-M-O-R-O-U-S



We flying the first class

Up in the sky

Poppin' champagne

Livin' the life

In the fast lane

And I wont change

For the glamorous, oh the flossy flossy



The glamorous, 

The glamorous, glamorous (the glamorous life)

For the glamorous, oh the flossy flossy



The glamorous, 

The glamorous, glamorous (the glamorous life)

For the glamorous, oh the flossy flossy



I got problems up to here

I've got people in my ear

Telling me these crazy things

That I dont want to know (fuck y'all)

I've got money in the bank

And I'd really like to thank

All the fans, I'd like to thank

Thank you really though

Cuz i remember yesterday

When I dreamt about the days

When I'd rock on MTV, that be really dope

Damn, It's been a long road

And the industry is cold

I'm glad my daddy tell me so, he let his daugther know",2006.0
Don’t Matter,Karaoke - Most Downloaded 2007,2011-03-25,['Akon'],['karaoke'],2007,11,298360,https://open.spotify.com/track/2thwhoKL8cmpzMD5rQ6e3P,https://i.scdn.co/image/ab67616d00001e02e1beb3789eaef154a01d2677,spotify:track:2thwhoKL8cmpzMD5rQ6e3P,0,0.0493,0.658,0.309,0.125,0.151,-12.33,0.0392,62.596,0.642,11,0,4,"Konvict Konvict
Oh
Ohoohwooe
Oooh
Ooohhwooe

Nobody wanna see us together

But it don't matter no

'Cause I got you babe

Nobody wanna see us together

But it don't matter no

'Cause I got you babe

'Cause we gonna fight

Oh yes we gonna fight

Believe we gonna fight

We gonna fight

Fight for our right to love yeah

Nobody wanna see us together

But it don't matter no

'Cause I got you



Nobody wanna see us together

Nobody thought we'd last forever

I feel 'em hopin' and prayin'

Things between us gonna get better

Men steady comin' after you

Women steady comin' after me

Seem like everybody wanna go for self

And don't wanna respect boundaries

Tellin' you all those lies

Just to get on your side

But I must admit there was a couple secrets

I held inside

But just know that I tried

To always apologize

And I'ma have you first always in my heart

To keep you satisfied



Got every right to wanna leave

Got every right to wanna go

Got every right to hit the road

And never talk to me no more

You don't even have to call

Even check for me at all

Because the way I been actin' lately

Has been off the wall

Especially toward you

Puttin' girls before you

And they watchin' everything I been doin'

Just to hurt you

Most of it just ain't you

Ain't true

And they won't show you

How much of a queen you are to me

And why I love you baby



Oh oh oh oh oh

'Cause I got you

'Cause I got you

Oh

'Cause I got you babe

'Cause I got you



Nobody wanna see us together

But it don't matter no

'Cause I got you babe

Nobody wanna see us together

But it don't matter no

'Cause I got you babe

'Cause we gonna fight

Oh yes we gonna fight

Believe we gonna fight

We gonna fight

Fight for our right to love yeah

Nobody wanna see us together

But it don't matter no

'Cause I got you



Nobody wanna see us together

But it don't matter no

'Cause I got you babe

Nobody wanna see us together

But it don't matter no

'Cause I got you babe

'Cause we gonna fight

Oh yes we gonna fight

Believe we gonna fight

We gonna fight

Fight for our right to love yeah

Nobody wanna see us together

But it don't matter no

'Cause I got you",2011.0
